,cluster_label,geometry
0,Abbey Wood,"POLYGON ((0.1074743593467886 51.486914280270156, 0.1067095029976376 51.48813306647435, 0.1054939158849989 51.48804181632928, 0.1055859236889631 51.48832612743276, 0.1072560771908962 51.48853992795855, 0.1078554530813826 51.48893081966908, 0.1080296845784593 51.49083416976102, 0.1081660642320156 51.49224460979215, 0.1087554704728395 51.49282652232548, 0.1089054429158676 51.492892179641395, 0.1085611207228918 51.493297644994634, 0.108206769939682 51.493735672786066, 0.1085665707773852 51.49385308850954, 0.108346859672348 51.49552272825552, 0.1090486032560344 51.49574392219947, 0.108853411539202 51.495986624252765, 0.1093074105790003 51.49623789262569, 0.1087685352162596 51.49690324347968, 0.1096415077666851 51.49718188526951, 0.1134631921346556 51.498388772005214, 0.1140048736616707 51.498559790660174, 0.1157181733516295 51.49908550203667, 0.1164113666653703 51.49834394319858, 0.1153939715057279 51.4980576871592, 0.11591740273243 51.49741031797383, 0.1173793806106449 51.49773518820378, 0.1186025395824896 51.49807739507519, 0.1205933118765754 51.498142462231314, 0.1205202891213466 51.49898537831364, 0.1210190746201545 51.49892751713017, 0.1210737301868019 51.496523693446775, 0.1210822988070264 51.496291810693855, 0.1219797157764631 51.49630436892933, 0.122891539408869 51.49631690227708, 0.1233979874715394 51.49632384738123, 0.1231570961453526 51.49589349488152, 0.1228014196591903 51.49592740768313, 0.1226139435035655 51.494905724215236, 0.1233601274913155 51.49521137056732, 0.1237268901062614 51.49487183989031, 0.1241221941214904 51.49521418686948, 0.1240825155878125 51.49445090858273, 0.1255224814007668 51.49442695511758, 0.1275719461342201 51.4944611533696, 0.1270942194727926 51.494439433746514, 0.1270829299748578 51.49414835979293, 0.1277615610972469 51.493850083029926, 0.1271134257988029 51.49377913524671, 0.1269991084931745 51.493460649478905, 0.1282454160410512 51.49337936538976, 0.1282520784290075 51.492318365293414, 0.1260979442219166 51.492301707119964, 0.1260359147385885 51.49193147161348, 0.1260192929518052 51.49137267773514, 0.1254922630817861 51.49123891337609, 0.1283215263040962 51.4914711908565, 0.1281842833138848 51.490079032223605, 0.1325286693465986 51.49047363605618, 0.1312972263872118 51.487185579111156, 0.131914565747173 51.48653216539987, 0.1330172266783992 51.486122215275834, 0.1326353673512405 51.48500708408202, 0.1357612296933761 51.48482878993766, 0.1348024016551912 51.48440028602112, 0.1355829260208179 51.48338457896619, 0.1359459225396257 51.48215160643819, 0.1377790783685817 51.4825759606435, 0.1347277481891445 51.48167385130956, 0.1344620012553172 51.48209476354524, 0.1333910246977278 51.48174230147713, 0.133959858819113 51.48148536446944, 0.1331713703775706 51.481266419812194, 0.1330621131572621 51.4809161203291, 0.1319028783882021 51.48145461985813, 0.1306404991974017 51.481471065852766, 0.1305117136906704 51.482068716964584, 0.1269097753729158 51.48160682647212, 0.1263186786754931 51.48234740087567, 0.1252174333426024 51.4824036359588, 0.1250674822664984 51.48176756310992, 0.124361061396799 51.481783035907114, 0.1249463881513871 51.48095034512616, 0.1239156962342326 51.48052132891419, 0.1227775191278912 51.480494702563554, 0.1229931363400291 51.479951127069924, 0.1241589888317404 51.476823042875495, 0.1237808431991034 51.4770619998016, 0.1223752250311307 51.47781745083478, 0.1205355915173974 51.47855569929795, 0.1184901609971967 51.47889660919246, 0.1182120926621436 51.47869147005524, 0.116154797794618 51.47675493864579, 0.1155559797879171 51.4761369912621, 0.1110771653599327 51.47810363633353, 0.1099294219423234 51.47803953064938, 0.1094205930195038 51.478972460113695, 0.1082801793203079 51.4794202595105, 0.1081086602632956 51.479469441061205, 0.107749463286648 51.47961062111248, 0.1070998768696608 51.480412292582116, 0.1056354987398326 51.48086855845759, 0.1051581715324333 51.4813481485057, 0.1054575959550936 51.48195000501965, 0.1063933236553345 51.483918414023286, 0.1064280751706916 51.48463964552094, 0.1066081270926171 51.48490638487663, 0.1071986833349612 51.48482536776255, 0.1079265686070338 51.486619864024455, 0.1074743593467886 51.486914280270156))"
1,Acton,"POLYGON ((-0.2732098110741796 51.50688889634383, -0.2739463229672106 51.50703498252858, -0.2734958044154454 51.50736041293129, -0.2731924100929841 51.50755842773258, -0.2727490952473184 51.50727163501305, -0.2725401379194851 51.50755165540309, -0.2742606546547084 51.50843556488279, -0.2739396823816402 51.50882101162923, -0.274705309997984 51.5097582288337, -0.2748721325145721 51.5100198334789, -0.2758266492239694 51.51097898368521, -0.2761161045294951 51.510721047973725, -0.2755251375625756 51.509314660081905, -0.2774947101935421 51.5092375901003, -0.2783665819193518 51.509736319991596, -0.2771508617268646 51.50984993748581, -0.2775329148678574 51.5111258722734, -0.2743987405021296 51.511631207344735, -0.2754778355804314 51.51247444676525, -0.278280627833446 51.51377129562315, -0.2782047825605186 51.51383499919936, -0.2771000159494164 51.51394544340272, -0.2769817524839399 51.51455500650375, -0.2745696674723974 51.51325968437084, -0.2742673569224978 51.513900213867636, -0.2746967389580646 51.51427428185633, -0.2734612306460661 51.51506827413604, -0.2731122794199791 51.515221061062405, -0.2732991481119231 51.51471650820323, -0.2724788730668706 51.51455272015939, -0.2727285410708491 51.515322608814934, -0.2716466845132266 51.51561998462121, -0.2717063649841576 51.5162216703905, -0.2727686645677133 51.51601989150779, -0.2727668638149627 51.517820143523544, -0.2760205264179598 51.51727000802411, -0.2759422404923981 51.517053040970914, -0.2768611618812275 51.516859242958716, -0.2770909871754248 51.5171240355222, -0.276438545659823 51.51784434167388, -0.2752776647628474 51.5181849311678, -0.2755318495982692 51.51875530325827, -0.2749229622993564 51.519005599736154, -0.2723982080740323 51.51891626884503, -0.2685592672589598 51.51942618468024, -0.2690023261223592 51.52073486163201, -0.2685069757657894 51.52079510141054, -0.2680280138226946 51.51947876147667, -0.2652090239901215 51.51935093090939, -0.2660851699120368 51.51813284008829, -0.2652630695952748 51.51819558236929, -0.2642729037876199 51.51947731853238, -0.2634712157849022 51.51926416801599, -0.26362123384453 51.51874002087866, -0.2629805909834166 51.51868063715662, -0.2621541853976815 51.51880990938719, -0.2619482004982405 51.51843772989336, -0.261505387628809 51.51783214138371, -0.261311857161512 51.51758507620061, -0.2618587701112744 51.51740019648247, -0.2612079214085418 51.5166362975465, -0.2605759645885125 51.51618631080783, -0.2599808686588649 51.51652917611128, -0.2593970203709353 51.516239124487605, -0.2591276218218166 51.51612029394068, -0.2598013799829342 51.51519511199503, -0.2587943104985218 51.514586220659176, -0.257690428193573 51.515395805371014, -0.2579867093283337 51.51565185747816, -0.2564007948863645 51.51501464517387, -0.2563990873040025 51.51387343328242, -0.2572782531563719 51.5135595270492, -0.2569670472444769 51.5130764724196, -0.2567034904373689 51.51275656341681, -0.2544281965076235 51.51284007509118, -0.2543649541712001 51.512190954071514, -0.2549046175754591 51.512077542332655, -0.2539523065052573 51.5120749431365, -0.2529832194031124 51.51104316876236, -0.2547203172197588 51.50966163120098, -0.2544753248889879 51.50820042760261, -0.255606876467861 51.50810265412861, -0.2555011821554156 51.50744492567165, -0.2554400606234496 51.50704712855216, -0.2561274389006962 51.50701659716036, -0.2565155732850362 51.506567991067925, -0.2595331051512613 51.50643809468989, -0.2596529604498257 51.505285466791634, -0.2607523522667997 51.504485320188856, -0.2620218112908673 51.5046082250519, -0.2616840722171567 51.50491466210839, -0.2627259795346418 51.50525809680921, -0.2637194716330016 51.504794854256836, -0.2645739601556961 51.504976980147234, -0.2652403332487238 51.50405636956013, -0.2655413727468595 51.503681208417014, -0.2663384477870433 51.503890537709154, -0.2662363810064406 51.50468839759723, -0.267094810484072 51.504536289640185, -0.2672688264900109 51.50472438234723, -0.267289547963098 51.5047577804248, -0.2673288646032395 51.50448670150165, -0.2683443392166896 51.504150384445936, -0.2700721410335272 51.50447843002632, -0.2701797933649584 51.504378673726485, -0.270723195005177 51.50407316773517, -0.2704197096860485 51.503510823703486, -0.2707813894064142 51.503256771627576, -0.2712564908395268 51.50338761839214, -0.2709875017733341 51.50440387427238, -0.2714967123593413 51.50471280419603, -0.271310138053594 51.505016019953594, -0.2721984674955574 51.50518815769352, -0.2721747823476496 51.50615260034457, -0.2730047883105617 51.50633742410828, -0.2732098110741796 51.50688889634383))"
2,Addington,"POLYGON ((-0.0123197658243101 51.33461128826289, -0.0106851585081016 51.33375703179475, -0.0110222173042836 51.333556756297796, -0.0106925235514006 51.33308942471494, -0.0119150280920098 51.33289154893801, -0.0135450856848091 51.331529014676185, -0.0143560730308903 51.32980441272793, -0.0159680073890931 51.33201391466042, -0.017057381546446 51.33290411891237, -0.0178107201275892 51.33293275357951, -0.0205847668833033 51.33714464088732, -0.0223983176984244 51.33820580911045, -0.0259849583140866 51.33856041151184, -0.030707517993802 51.33751566206897, -0.0327970680484117 51.33743851187056, -0.0343087662808782 51.33800048074912, -0.035666506741556 51.339402650275936, -0.0358310984153657 51.33990149322576, -0.0367170876419248 51.33983595236192, -0.0372698752623757 51.34070611341526, -0.0366019493391572 51.3411766299251, -0.0359851908597234 51.341125668194024, -0.035824473243113 51.34196881478357, -0.0362240017197576 51.342306271901336, -0.0369738637955872 51.34196510826787, -0.0376973815132689 51.34218702716033, -0.0375524881987651 51.34295919051508, -0.0365506334374268 51.343080242090046, -0.0360817078779893 51.34273925741328, -0.0354347788194559 51.34280944245469, -0.0347827121629533 51.34430775717349, -0.0345717756843642 51.3455190272712, -0.0323185210507313 51.345242172928316, -0.033006701642831 51.34596406954427, -0.0348944234613676 51.34673305436451, -0.0341819614359652 51.3473493487074, -0.035176292266085 51.34789935454008, -0.0353439944766545 51.34837099221559, -0.0374487626233503 51.35184934388514, -0.0368446573614406 51.35206041743984, -0.0338104619953476 51.3530023613479, -0.0355965289395596 51.35435214643305, -0.0368506570377931 51.35381292717754, -0.0373744025740442 51.353925445540135, -0.033314810954331 51.35792860474734, -0.0336814828119169 51.35831391682453, -0.0308597451227289 51.35875722792007, -0.0311174591295989 51.35917021289455, -0.0299103760774506 51.35900333405942, -0.0287948101149313 51.35935375866716, -0.0285966838317913 51.36082147434401, -0.0275566582457408 51.3619269660625, -0.0238333314290682 51.361710164011164, -0.0198637136757042 51.363582230003544, -0.0158466671489175 51.364576762874854, -0.0097890017924661 51.366816901440465, -0.0060701319563936 51.36825116070515, -0.0058212136716188 51.36835898361056, -0.0041113000678329 51.367149450031604, -0.0036272810243336 51.36614007118961, -0.0069437091004979 51.36545975865358, -0.0069261532958869 51.36322044280443, -0.0051279974305603 51.363564315178095, -0.0047167649804278 51.362496089363546, -0.0039782446704621 51.36267135950672, -0.0026450849885071 51.362296770801095, -0.0018413622686304 51.36304025465187, -0.0011818400306157 51.362171405909024, 0.0010148464537231 51.361486413974866, 0.0040926032934317 51.360255729068314, 0.0052898056959209 51.35782704295055, 0.0073193207708141 51.35810441490325, 0.0088633122559989 51.359357130483744, 0.0100420655848884 51.359966546333, 0.0118207603241679 51.362170996384734, 0.0115929131700101 51.362377375410624, 0.0129923949790314 51.363394521974975, 0.0122306958409156 51.3643698484942, 0.012798857263079 51.36520541886601, 0.0153036859446845 51.36445180532778, 0.0175840565276156 51.3665772485368, 0.0147845781291977 51.36750493676891, 0.0135712002541172 51.368402606534495, 0.015263247130904 51.367914089885765, 0.016084573896384 51.36862354314593, 0.014068499470751 51.36993533015513, 0.0177405228018717 51.37097642987727, 0.019398773873155 51.36866398508558, 0.0206512463253645 51.369454634451486, 0.0218707058313245 51.37102641457125, 0.0228795036636298 51.37128338095889, 0.0244179843950564 51.36897018899435, 0.0253337718638263 51.36976021281923, 0.0281177480841455 51.37110548759458, 0.0292010454150457 51.370974657927064, 0.0309329427110646 51.37147522607756, 0.033220380638429 51.37158425314043, 0.0300003382220813 51.36803973418232, 0.0298954976128125 51.36734764923483, 0.0278521521101201 51.367760571048365, 0.0249563611027343 51.36757684931755, 0.0257548728860009 51.36516193772313, 0.027316121305195 51.36245504061424, 0.0269875828190256 51.3627511433387, 0.0252232916112472 51.361701485886854, 0.0249452766611995 51.36089380086806, 0.0223062565872282 51.35935492306327, 0.0222917933281746 51.35904710266191, 0.0199482858143529 51.358098940195305, 0.0203822636598934 51.357414037580675, 0.0192893053516764 51.355791256001694, 0.0205038093698678 51.355198416785, 0.0210405603389343 51.35556433188991, 0.021600709504049 51.35552423334937, 0.0202290040139343 51.352644672755055, 0.0173693070633278 51.352565678296436, 0.0157753545357948 51.35021884843541, 0.0147912541699928 51.34947391942296, 0.0120851633221355 51.34990487644213, 0.0094282095015378 51.349921262861756, 0.0090158026684568 51.350978681844616, 0.0067349291860237 51.35179749387007, 0.0065413132487089 51.35135158853395, 0.0045252440665707 51.3501157271249, 0.0042471261127711 51.34849389556027, 0.00248435332278 51.3479170262434, 0.0006529277533747 51.34617503204728, -0.0028481831316565 51.345534750492966, -0.0024006301390319 51.34349487554536, -0.0040208900462326 51.34298434634141, -0.0037426800542702 51.341927120534386, -0.0041949574935482 51.34178399066905, -0.0044048848083787 51.34072867162242, -0.0025198895879768 51.340882124157424, -0.0017577277798237 51.33936626419889, -0.0028772327584068 51.338886082692675, -0.0031926496349238 51.338725263015796, -0.0034904339513023 51.33893384029052, -0.0038402901101388 51.33845482543739, -0.002456424598205 51.33771741804491, -0.0028503679969099 51.337524889708504, -0.0032917213335581 51.337751482489395, -0.0057770934974872 51.33797792329609, -0.0065404442423564 51.337022041510664, -0.0060902429211657 51.3366497601885, -0.0064283475773983 51.336418400109544, -0.0048906650503838 51.33566064168838, -0.0051524893400006 51.33525143695843, -0.0063165251786414 51.33489354773296, -0.0069429817414757 51.33521975377626, -0.0072424617586976 51.33502328301455, -0.008083539111368 51.33520312396358, -0.0089898814079646 51.3348221197659, -0.0108027873152277 51.3353925007836, -0.011047204779369 51.33510625323062, -0.0116607522036232 51.33529698829412, -0.0123197658243101 51.33461128826289))"
3,Addiscombe,"POLYGON ((-0.0765771621360065 51.37880435204411, -0.0779002314070912 51.380051401870006, -0.0788735573748198 51.37981698971811, -0.0802717615738903 51.37976682451456, -0.080406792024337 51.37959248215825, -0.081166295245477 51.37987594762527, -0.0805737650929947 51.38029133832718, -0.0799730241618676 51.38185350089637, -0.0790204416373179 51.38176664544374, -0.0785941652569995 51.38201977990948, -0.0781388372461837 51.382290143034716, -0.0772972093165116 51.38280741964765, -0.0741553402589992 51.38418802226315, -0.0737367541103897 51.38387657419228, -0.0744141532905084 51.38366599284729, -0.0741125063005925 51.38341589212179, -0.0734111348042403 51.383501644665564, -0.0724516947897343 51.38407340602984, -0.0727854768273188 51.383335087508115, -0.0722373794592892 51.383193283286985, -0.0708428974439089 51.38453251836637, -0.0687395547593669 51.385696044671725, -0.0681418538397263 51.385901064096544, -0.0679737711803815 51.38550901368122, -0.0697005453812846 51.38474133707494, -0.0692145259075417 51.38433764699198, -0.0696017439289488 51.38414425325204, -0.0693563344903351 51.383828745074794, -0.0681311507363691 51.382763382917695, -0.0673744585708235 51.382975120072906, -0.0672017564018997 51.382649790373975, -0.0678752353820729 51.382355144636676, -0.0674559829840112 51.382031567406734, -0.0685904739984038 51.381864403687025, -0.0672021488329137 51.380274850543884, -0.0683440310904272 51.38001849513188, -0.0694955157107441 51.37982664814686, -0.069397302919831 51.379500327734895, -0.0707218486748849 51.37865320244016, -0.0707410755323611 51.377492938724, -0.0719993889306962 51.37682073305384, -0.072114276515263 51.37639138421352, -0.0736534111252233 51.37647999303417, -0.0747514385777458 51.374805710685834, -0.0760272879100959 51.37499001517386, -0.0757475935462261 51.377266473619, -0.0769307788034166 51.37735776232925, -0.0769561247904296 51.37833598882868, -0.0765771621360065 51.37880435204411))"
4,Albany Park,"POLYGON ((0.1186510467899586 51.43908105151237, 0.1186019659876969 51.43917962884486, 0.1181693334617763 51.43966151032131, 0.1185377670132874 51.44012591845748, 0.1208678548190777 51.4403864254207, 0.121378792947841 51.44124017564253, 0.1207712479142056 51.44164818100802, 0.1216403635049441 51.442054048853564, 0.1235151099290769 51.44260656215278, 0.1238977250216462 51.44263367662037, 0.124113895973189 51.43969756122829, 0.1248241330640442 51.43978295299401, 0.1254248037431087 51.43944636470047, 0.1255824686866524 51.439669524764184, 0.1273116934527625 51.43988342432893, 0.1289236350095226 51.4406314419162, 0.1293471358663337 51.44041950104205, 0.1303231546308651 51.440760870717064, 0.1305729949108483 51.440481199411714, 0.1304541735139032 51.4392121446689, 0.12942702739515 51.43896746194918, 0.1294995980110512 51.43833407477467, 0.1302870417223284 51.438009256465506, 0.1290073038244807 51.43746669261988, 0.128463632820412 51.43776855906052, 0.1278924728162069 51.43749092254095, 0.1269562610383629 51.43775608560466, 0.1264058426760014 51.43744650027385, 0.1261901744869615 51.43676000733502, 0.1255966347673626 51.436786313292764, 0.1251684138998598 51.43530356275062, 0.1217856046232605 51.43501282578739, 0.1199841959299389 51.43485990961795, 0.1196060479497458 51.436065956333344, 0.1195897401994306 51.436127987716276, 0.1186510467899586 51.43908105151237))"
5,Alperton,"POLYGON ((-0.2906217166174445 51.532483928139506, -0.2914669274435242 51.53234470207072, -0.2917158213294471 51.53171691330023, -0.2923779962939744 51.53103714001364, -0.2924122481594496 51.531052655746116, -0.292517033741454 51.531701186925204, -0.2928617857121513 51.53167617887567, -0.2932565871479653 51.532252773283744, -0.2944736989286479 51.53235135085136, -0.2932419592185358 51.53273409876509, -0.292830220930832 51.53239933096035, -0.2921727625628787 51.53283212959354, -0.2937651848094258 51.53438107074205, -0.295503736514173 51.53395672767994, -0.2947189197637687 51.53122964477279, -0.2947985692365037 51.53044846235898, -0.2958663203019287 51.530095976381936, -0.297049772973308 51.53045575977496, -0.2999616755352578 51.53095686200724, -0.3057093584065616 51.53122660310753, -0.3061356061146348 51.53170564538829, -0.3035112803783256 51.53150886636864, -0.3027318458495264 51.53198205267188, -0.3074643452910279 51.53305066526247, -0.3063772158611312 51.53382757508587, -0.3058849089798392 51.53694562198919, -0.3058087150497752 51.536785699845375, -0.3033329957494587 51.53705566035973, -0.3032054692202748 51.537843609226584, -0.3029779497746245 51.53952635533889, -0.3040803248484238 51.53980125556785, -0.3043042608279632 51.54042031134625, -0.3038112106220334 51.540511191117936, -0.3055494111906241 51.54182662927402, -0.307145981472297 51.5418898992151, -0.3082963552930774 51.54298152836965, -0.3085763133735991 51.543239380823344, -0.3080962939872199 51.544456255055785, -0.3089603528011338 51.545243162863805, -0.3071805664221187 51.54528434604683, -0.3057124022189374 51.543881606869824, -0.3062713880820359 51.543743418259396, -0.3062910947360496 51.54338394849859, -0.305262875657334 51.54219681253768, -0.3043542975169935 51.54215230169458, -0.3038566512472045 51.542518333233275, -0.3045355672886498 51.543312480294006, -0.3036268027412244 51.5450054684306, -0.3043938468626566 51.54575754718325, -0.3025287099701117 51.546041063306475, -0.3019151636043074 51.54606858587359, -0.3013031883359983 51.54610075900725, -0.3007023323053706 51.54613717249203, -0.2982997528454579 51.54638207379939, -0.2984335678343156 51.54828784321997, -0.2987868339414711 51.54982579935952, -0.2981634849769898 51.550010606301605, -0.2976097233155512 51.55010810641965, -0.2972157901188706 51.549711396662104, -0.2969363133336285 51.550178661944734, -0.296597270451206 51.54997221422112, -0.2959529199219786 51.55015906953942, -0.2951682800936831 51.549663787513786, -0.294666013149116 51.549756887360395, -0.2940924312297097 51.54929598553092, -0.2945479589629586 51.54891950927139, -0.2942890814361565 51.548748237761046, -0.293646274307924 51.54862496780045, -0.2934693419924226 51.54861356408951, -0.2925450846570858 51.54905291520148, -0.2951760740099081 51.551048811502625, -0.2944725510053239 51.551324739815406, -0.2940328561933203 51.55142536486894, -0.2914233813757461 51.549854237210326, -0.2899714363379183 51.54921119619733, -0.2883112772857866 51.54921420828442, -0.2890511797311473 51.55124889505335, -0.2873795723333461 51.55121409466737, -0.2872532296784575 51.55077909175817, -0.2868841332791421 51.54975529911334, -0.2863082095952534 51.54838880936913, -0.286261018583809 51.54706029943171, -0.2865359237839703 51.5455365767383, -0.2859336148033504 51.54525075315299, -0.2836577721691778 51.544304691683664, -0.2841642612697549 51.5438196273594, -0.2834195328748294 51.54358215450565, -0.2836556641048061 51.54331588486201, -0.2832328640035354 51.543091248842536, -0.2841676308540905 51.54224742579214, -0.2840007235294499 51.541692668133045, -0.2836394753249164 51.541454851752505, -0.2819303249785692 51.542192958990945, -0.2826812125959855 51.543019141214856, -0.2824797660437343 51.54326266257713, -0.2806368941192078 51.54267474791268, -0.2802931302863423 51.54308964154073, -0.2769004953506124 51.541962953588175, -0.2772698887068556 51.54145346021631, -0.2776857400296204 51.54158711270921, -0.2825630183484608 51.53862581802378, -0.277992580688551 51.534879515426326, -0.2803236461658881 51.534673136741546, -0.2800471889650622 51.53422278600025, -0.2822559545962269 51.53356567033716, -0.2820432789075669 51.533149943413, -0.2836495640542995 51.53297293501319, -0.2840387628684822 51.53351743031016, -0.2856650340533579 51.53306415482667, -0.2859248386283191 51.53281104053226, -0.2860849427596556 51.5327647851952, -0.2863694090160535 51.53316255252751, -0.2862371640615852 51.53292650573418, -0.2867509881967472 51.53289321251234, -0.287469107160442 51.53363579807887, -0.2870606574645092 51.534062041670275, -0.2872531133808282 51.53443005648537, -0.289711511195911 51.53275954924993, -0.2906402936139782 51.533305529800295, -0.2911640543439904 51.532932596458906, -0.2906217166174445 51.532483928139506))"
